TITULO:,CATÁLOGO
FUNDACIÓN TELEFÓNICA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FUNDACIÓN UNIVERSITARIA ESPAÑOLA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FUNGAL DIVERSITY PRESS CTR RES FUNGAL DIVERSITY,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GABLER VERLAG/SPRINGER FACHMEDIEN,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GALAXIA GUTENBERG,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
GALLAUDET UNIV PR,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GALLIMARD,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
GANGEMI EDITORE S P A,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GANGEMI EDITORE S.P.A.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
GARCETA GRUPO EDITORIAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
"GARLAND SCIENCE, TAYLOR & FRANCIS",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GARNIER,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
GAUDEAMUS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GAUDEAMUS PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GEBR BORNTRAEGER VERLAGSBUCHHANDLUNG,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GEBR. MANN VERLAG,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
GEBRUDER BORNTRAEGER,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GEDISA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
GEOLOGICAL ASSOCIATION OF CANADA,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
GEOLOGICAL SOC AMER INC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GEOLOGICAL SOC PUBLISHING HOUSE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GEOLOGICAL SOCIETY,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
GEOLOGICAL SOCIETY OF AMERICA,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
GEOLOGICAL SOCIETY OF LONDON,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
GEOLOGICAL SOCIETY PUBLISHING HOUSE,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
GEOLOGICAL SURVEY OF DENMARK AND GREENLAND,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
GEORG OLMS VERLAG,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
GEORG THIEME VERLAG,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GEORG THIEME VERLAG,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
GEORGETOWN UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GEORGETOWN UNIVERSITY PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
GEU EDITORIAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
GEUS - GEOLOGICAL SURVEY OF DENMARK AND GREENLAND,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
GIAPICCHELLI,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
GIORGIO BRETSCHNEIDER,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
GIORGIO BRETSCHNEIDER EDITORE,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
GIUFFRÈ,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
GIULIO EINAUDI EDITORE,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
GLASSTREE ACAD PUBLISHING,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GLOBAL ACADEMIC PUBLISHING,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GLOBAL ORIENTAL,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GOBIERNO DE NAVARRA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
GOECKE & EVERS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GOLDEN HOUSE PUBLICATIONS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
GOLDSMITHS PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GORGIAS PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GÖTTINGEN UNIVERSITY PRESS (UNIVERSITÄTSVERLAG GÖTTINGEN),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
GOWER PUBL CO,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GRAÓ EDITORIAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
GREDOS (GRUPO RBA),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
GREENLEAF PUBLISHING,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GUERNICA EDITIONS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
GUILFORD PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GUILFORD PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
GUILLERMO ESCOLAR EDITOR,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
GULF PROFESSIONAL PUBL,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GULF PUBL CO,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GUNTER NARR VERLAG,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
GUNTER NARR VERLAG,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
GUSTAVO GILI,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
HACHETTE (HACHETTE LIVRE),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
HAMPTON PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
HARMATTAN,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
HARPERCOLLINS PUBLISHERS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
HARRASSOWITZ VERLAG,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
HARRINGTON PARK PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
HART PUBL,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
HART PUBLISHING,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
HART PUBLISHING LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
HARVARD UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
HARVARD UNIVERSITY PRESS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
HARVARD UNIVERSITY PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
HARVEY MILLER PUBLISHERS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
HAWORTH PRESS INC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
HEIDELBERG UNIVERSITY PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
"HEINZ NIXDORF INST, UNIV PADERBORN",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
HELM,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
HERDER EDITORIAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
HERMANN PUBLISHER,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
HERPETOLOGISTS LEAGUE,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
HIGH RATE CONSULTING,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
HINDAWI,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
HINDAWI PUBLISHING CORPORATION,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
HINDUSTAN BOOK AGENCY-INDIA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
HIPERIÓN,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
HODDER AND STAUGHTON LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
HOGREFE,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
HOLLITZER VERLAG,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
HONG KONG UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
HORIZON SCIENTIFIC PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
HORSORI EDITORIAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
HUMANA PRESS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
HUMANA PRESS INC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
HUMANA PRESS INC.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
"HUMANA PRESS, INC.",<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
HUMANKINETICS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
I B TAURIS & CO LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
IARC,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
IBEROAMERICANA EDITORIAL VERVUERT S L,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
IBEROAMERICANA VERVUERT,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
IBFD TAX RESEARCH SERIES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
IBIDEM VERLAG,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
IBIDEM VERLAG,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ICARIA EDITORIAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ICEX,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
IDEA EDITORIAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
IDEA GROUP PUBLISHING,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
IEEE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
IGI GLOBAL,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
IGI GLOBAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
IGI GLOBAL PUBLISHING,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
IL CASTORO CINEMA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
IL CIGNO GG EDIZIONI,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
IL MULINO,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
IL POLIGRAFO,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ILLINOIS UNIVERSITY PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ILR PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
IMPERIAL COLL PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
IMPRENSA DA UNIVERSIDADE DE COIMBRA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
INDE EDITORIAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
INDEPENDENT INST,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
INDERSCIENCE PUBLISHERS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
INDIAN NATL SCIENCE ACAD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
INDIANA UNIVERSITY PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
INFONORTICS LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
INFORMA HEALTHCARE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
INFORMATION AGE PUBLISHING INC.,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
INFORMATION AGE PUBLISHING INC.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
INFORMATION AGE PUBLISHING-IAP,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
INFORMATION SCIENCE REFERENCE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
INFORMATION TODAY INC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"INFORMATION TODAY, INC.",<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
INNSBRUCK UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
INST BADAWCZY LESNICTWA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
INST BOTANICA-SAO PAULO,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"INST CZECH LITERATURE, CZECH ACAD SCI",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
INST ENGINEERING TECH-IET,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
